	Query	Path_Bandage_x	Start_Bandage_x	End_Bandage_x	Extracted_Path_x	Start_SPAligner_x	End_SPAligner_x	Path_SPAligner_x	FinalResultBandageVSSPAligner	Path_Bandage_y	Start_Bandage_y	End_Bandage_y	Extracted_Path_y	Start_GraphAligner_x	End_GraphAligner_x	Path_GraphAligner_x	FinalResultBandageVSGraphAligner	Start_SPAligner_y	End_SPAligner_y	Path_SPAligner_y	Start_GraphAligner_y	End_GraphAligner_y	Path_GraphAligner_y	SPAlignerVSGraphAligner
10	gb|AF047479|+|1295-2087|ARO:3002603|aadA3	(13) 5638634-, 23556688-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (13) 5638634-, 23556688-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (86) 24798140+, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (120) 25425969-, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (932) 31770840-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (932) 31770840-, 66940499-, 81873962+, 31582859- (287) , (11) 31689609+, 31674241+, 385047+ (435) , (120) 25425969-, 5638634-, 31689607+, 31674241+, 385047+ (435) , (86) 24798140+, 5638634-, 31689607+, 31674241+, 385047+ (435) , (932) 31770840-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (81) 26862905- (794)	13, 13, 86, 120, 932, 932, 11, 120, 86, 932, 81	435, 287, 287, 287, 435, 287, 435, 435, 435, 287, 794	5638634, 23556688, 66940499, 66940495, 3661600, 385047,5638634, 23556688, 66940499, 66940495, 8153423, 31582859,24798140, 5638634, 23556688, 66940499, 81873962, 31582859,25425969, 5638634, 23556688, 66940499, 81873962, 31582859,31770840, 66940499, 66940495, 3661600, 385047,31770840, 66940499, 81873962, 31582859,31689609, 31674241, 385047,25425969, 5638634, 31689607, 31674241, 385047,24798140, 5638634, 31689607, 31674241, 385047,31770840, 66940499, 66940495, 8153423, 31582859,26862905	1	223	792	Different	(13) 5638634-, 23556688-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (13) 5638634-, 23556688-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (86) 24798140+, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (120) 25425969-, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (932) 31770840-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (932) 31770840-, 66940499-, 81873962+, 31582859- (287) , (11) 31689609+, 31674241+, 385047+ (435) , (120) 25425969-, 5638634-, 31689607+, 31674241+, 385047+ (435) , (86) 24798140+, 5638634-, 31689607+, 31674241+, 385047+ (435) , (932) 31770840-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (81) 26862905- (794)	13, 13, 86, 120, 932, 932, 11, 120, 86, 932, 81	435, 287, 287, 287, 435, 287, 435, 435, 435, 287, 794	5638634, 23556688, 66940499, 66940495, 3661600, 385047,5638634, 23556688, 66940499, 66940495, 8153423, 31582859,24798140, 5638634, 23556688, 66940499, 81873962, 31582859,25425969, 5638634, 23556688, 66940499, 81873962, 31582859,31770840, 66940499, 66940495, 3661600, 385047,31770840, 66940499, 81873962, 31582859,31689609, 31674241, 385047,25425969, 5638634, 31689607, 31674241, 385047,24798140, 5638634, 31689607, 31674241, 385047,31770840, 66940499, 66940495, 8153423, 31582859,26862905	13, 13	804, 801	5638634, 23556688, 66940499, 66940495, 3661600, 385047 5638634, 23556688, 66940499, 81873962, 31582859	Different	1	223	792	13, 13	804, 801	5638634, 23556688, 66940499, 66940495, 3661600, 385047 5638634, 23556688, 66940499, 81873962, 31582859	Different
11	gb|AF078527|+|3769-4303|ARO:3000230|ANT(2'')-Ia	(66) 8148926- (599)	66	599	8148926	66	544	534	Different	(66) 8148926- (599)	66	599	8148926	66	599	8148926	Full	66	544	534	66	599	8148926	Different
12	gb|AF099140|+|136-1363|ARO:3002826|EreA2	(128) 31482731+	128	31482731	31482731	128	1290	1227	Different	(128) 31482731+	128	31482731	31482731	128	1345	31482731	Different	128	1290	1227	128	1345	31482731	Different
13	gb|AF118110.1|-|71-1037|ARO:3003002|CfxA2	(142) 5661688+ (1107) , (4) 280008- (963)	142, 4	1107, 963	5661688,280008	142	1052	966	Different	(142) 5661688+ (1107) , (4) 280008- (963)	142, 4	1107, 963	5661688,280008	142	1107	5661688	Different	142	1052	966	142	1107	5661688	Different
14	gb|AF135373|+|11-908|ARO:3002244|CARB-5	(146) 267426-, 63777837- (82) , (146) 267426-, 5625755+ (82)	146, 146	82, 82	267426, 63777837,267426, 5625755	150	960	897	Different	(146) 267426-, 63777837- (82) , (146) 267426-, 5625755+ (82)	146, 146	82, 82	267426, 63777837,267426, 5625755	146	1042	267426, 63777837	Different	150	960	897	146	1042	267426, 63777837	Different
15	gb|AF137361|+|63-852|ARO:3002605|aadA5	(57) 1370533+, 83520186+ (53) , (57) 1370533+, 31391622- (53)	57, 57	53, 53	1370533, 83520186,1370533, 31391622	57	790	789	Different	(57) 1370533+, 83520186+ (53) , (57) 1370533+, 31391622- (53)	57, 57	53, 53	1370533, 83520186,1370533, 31391622	57	845	1370533	Different	57	790	789	57	845	1370533	Different
16	gb|AF156486|+|1331-2195|ARO:3002330|GES-1	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	93	901	864	Different	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	93	956	32422725	Different	93	901	864	93	956	32422725	Different
17	gb|AF156486|+|5012-5792|ARO:3002602|aadA2	(25) 5638634-, 23556688-, 66940499-, 66940495+, 3661600-, 385047+ (433) , (25) 5638634-, 23556688-, 66940499-, 66940495+, 8153423-, 31582859- (276) , (98) 24798140+, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (276) , (132) 25425969-, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (276) , (932) 31770840-, 66940499-, 81873962+, 31582859- (276) , (932) 31770840-, 66940499-, 66940495+, 3661600-, 385047+ (433) , (31) 31689609+, 31674241+, 385047+ (433) , (132) 25425969-, 5638634-, 31689607+, 31674241+, 385047+ (433) , (98) 24798140+, 5638634-, 31689607+, 31674241+, 385047+ (433) , (932) 31770840-, 66940499-, 66940495+, 8153423-, 31582859- (276) , (81) 26862905- (794)	25, 25, 98, 132, 932, 932, 31, 132, 98, 932, 81	433, 276, 276, 276, 276, 433, 433, 433, 433, 276, 794	5638634, 23556688, 66940499, 66940495, 3661600, 385047,5638634, 23556688, 66940499, 66940495, 8153423, 31582859,24798140, 5638634, 23556688, 66940499, 81873962, 31582859,25425969, 5638634, 23556688, 66940499, 81873962, 31582859,31770840, 66940499, 81873962, 31582859,31770840, 66940499, 66940495, 3661600, 385047,31689609, 31674241, 385047,25425969, 5638634, 31689607, 31674241, 385047,24798140, 5638634, 31689607, 31674241, 385047,31770840, 66940499, 66940495, 8153423, 31582859,26862905	1	223	780	Different	(25) 5638634-, 23556688-, 66940499-, 66940495+, 3661600-, 385047+ (433) , (25) 5638634-, 23556688-, 66940499-, 66940495+, 8153423-, 31582859- (276) , (98) 24798140+, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (276) , (132) 25425969-, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (276) , (932) 31770840-, 66940499-, 81873962+, 31582859- (276) , (932) 31770840-, 66940499-, 66940495+, 3661600-, 385047+ (433) , (31) 31689609+, 31674241+, 385047+ (433) , (132) 25425969-, 5638634-, 31689607+, 31674241+, 385047+ (433) , (98) 24798140+, 5638634-, 31689607+, 31674241+, 385047+ (433) , (932) 31770840-, 66940499-, 66940495+, 8153423-, 31582859- (276) , (81) 26862905- (794)	25, 25, 98, 132, 932, 932, 31, 132, 98, 932, 81	433, 276, 276, 276, 276, 433, 433, 433, 433, 276, 794	5638634, 23556688, 66940499, 66940495, 3661600, 385047,5638634, 23556688, 66940499, 66940495, 8153423, 31582859,24798140, 5638634, 23556688, 66940499, 81873962, 31582859,25425969, 5638634, 23556688, 66940499, 81873962, 31582859,31770840, 66940499, 81873962, 31582859,31770840, 66940499, 66940495, 3661600, 385047,31689609, 31674241, 385047,25425969, 5638634, 31689607, 31674241, 385047,24798140, 5638634, 31689607, 31674241, 385047,31770840, 66940499, 66940495, 8153423, 31582859,26862905	25, 25	790, 804	5638634, 23556688, 66940499, 81873962, 31582859 5638634, 23556688, 66940499, 66940495, 3661600, 385047	Different	1	223	780	25, 25	790, 804	5638634, 23556688, 66940499, 81873962, 31582859 5638634, 23556688, 66940499, 66940495, 3661600, 385047	Different
18	gb|AF162771|+|61-643|ARO:3002596|AAC(6')-IIc	(90) 567692+ (671)	90	671	567692	90	616	582	Different	(90) 567692+ (671)	90	671	567692	90	671	567692	Full	90	616	582	90	671	567692	Different
19	gb|AF205943|+|7511-8312|ARO:3001405|OXA-10	(72) 32592252-, 26012357-, 758212-, 74766869-, 32267955- (52) , (23) 31339125-, 26012357-, 758212-, 74766869-, 32267955- (52) , (23) 31339125-, 26012357-, 758212-, 32575361- (55) , (72) 32592252-, 26012357-, 758212-, 32575361- (55) , (23) 31339125-, 26012357-, 758212-, 74766869-, 27276706- (52) , (72) 32592252-, 26012357-, 758212-, 74766869-, 27276706- (52) , (72) 32592258-, 758212-, 74766869-, 27276706- (52) , (72) 32592258-, 758212-, 74766869-, 32267955- (52) , (72) 32592258-, 758212-, 32575361- (55)	72, 23, 23, 72, 23, 72, 72, 72, 72	52, 52, 55, 55, 52, 52, 52, 52, 55	32592252, 26012357, 758212, 74766869, 32267955,31339125, 26012357, 758212, 74766869, 32267955,31339125, 26012357, 758212, 32575361,32592252, 26012357, 758212, 32575361,31339125, 26012357, 758212, 74766869, 27276706,32592252, 26012357, 758212, 74766869, 27276706,32592258, 758212, 74766869, 27276706,32592258, 758212, 74766869, 32267955,32592258, 758212, 32575361	1	626	801	Different	(72) 32592252-, 26012357-, 758212-, 74766869-, 32267955- (52) , (23) 31339125-, 26012357-, 758212-, 74766869-, 32267955- (52) , (23) 31339125-, 26012357-, 758212-, 32575361- (55) , (72) 32592252-, 26012357-, 758212-, 32575361- (55) , (23) 31339125-, 26012357-, 758212-, 74766869-, 27276706- (52) , (72) 32592252-, 26012357-, 758212-, 74766869-, 27276706- (52) , (72) 32592258-, 758212-, 74766869-, 27276706- (52) , (72) 32592258-, 758212-, 74766869-, 32267955- (52) , (72) 32592258-, 758212-, 32575361- (55)	72, 23, 23, 72, 23, 72, 72, 72, 72	52, 52, 55, 55, 52, 52, 52, 52, 55	32592252, 26012357, 758212, 74766869, 32267955,31339125, 26012357, 758212, 74766869, 32267955,31339125, 26012357, 758212, 32575361,32592252, 26012357, 758212, 32575361,31339125, 26012357, 758212, 74766869, 27276706,32592252, 26012357, 758212, 74766869, 27276706,32592258, 758212, 74766869, 27276706,32592258, 758212, 74766869, 32267955,32592258, 758212, 32575361	8	808	26012357, 758212	Different	1	626	801	8	808	26012357, 758212	Different
20	gb|AF231133|+|1345-2146|ARO:3001423|OXA-28	(72) 32592258-, 758212-, 74766869- (55) , (72) 32592258-, 758212-, 32575361- (55) , (72) 32592252-, 26012357-, 758212-, 74766869- (55) , (72) 32592252-, 26012357-, 758212-, 32575361- (55) , (23) 31339125-, 26012357-, 758212-, 74766869- (55) , (23) 31339125-, 26012357-, 758212-, 32575361- (55)	72, 72, 72, 72, 23, 23	55, 55, 55, 55, 55, 55	32592258, 758212, 74766869,32592258, 758212, 32575361,32592252, 26012357, 758212, 74766869,32592252, 26012357, 758212, 32575361,31339125, 26012357, 758212, 74766869,31339125, 26012357, 758212, 32575361	1	626	801	Different	(72) 32592258-, 758212-, 74766869- (55) , (72) 32592258-, 758212-, 32575361- (55) , (72) 32592252-, 26012357-, 758212-, 74766869- (55) , (72) 32592252-, 26012357-, 758212-, 32575361- (55) , (23) 31339125-, 26012357-, 758212-, 74766869- (55) , (23) 31339125-, 26012357-, 758212-, 32575361- (55)	72, 72, 72, 72, 23, 23	55, 55, 55, 55, 55, 55	32592258, 758212, 74766869,32592258, 758212, 32575361,32592252, 26012357, 758212, 74766869,32592252, 26012357, 758212, 32575361,31339125, 26012357, 758212, 74766869,31339125, 26012357, 758212, 32575361	72	872	32592258, 758212	Different	1	626	801	72	872	32592258, 758212	Different
21	gb|AF294653|+|753-1584|ARO:3001425|OXA-31	(41) 1736030- (871)	41	871	1736030	41	816	831	Different	(41) 1736030- (871)	41	871	1736030	41	871	1736030	Full	41	816	831	41	871	1736030	Different
22	gb|AF300985|+|0-739|ARO:3001430|OXA-36	(104) 32571183-, 5674312+ (101) , (104) 32571183-, 24348369+ (101)	104, 104	101, 101	32571183, 5674312,32571183, 24348369	104	740	738	Different	(104) 32571183-, 5674312+ (101) , (104) 32571183-, 24348369+ (101)	104, 104	101, 101	32571183, 5674312,32571183, 24348369	104	841	32571183, 5674312	Different	104	740	738	104	841	32571183, 5674312	Different
23	gb|AF313472|+|15593-16397|ARO:3002639|APH(3'')-Ib	(39) 595376- (842)	39	842	595376	39	787	804	Different	(39) 595376- (842)	39	842	595376	39	842	595376	Full	39	787	804	39	842	595376	Different
24	gb|AF315351|+|672-1500|ARO:3001426|OXA-32	(71) 32571183-, 5674312+ (158) , (71) 32571183-, 24348369+ (158)	71, 71	158, 158	32571183, 5674312,32571183, 24348369	71	740	828	Different	(71) 32571183-, 5674312+ (158) , (71) 32571183-, 24348369+ (158)	71, 71	158, 158	32571183, 5674312,32571183, 24348369	71	898	32571183, 5674312	Different	71	740	828	71	898	32571183, 5674312	Different
25	gb|AF315786|+|1313-2114|ARO:3001429|OXA-35	(72) 32592258-, 758212-, 74766869- (55) , (72) 32592258-, 758212-, 32575361- (55) , (72) 32592252-, 26012357-, 758212-, 74766869- (55) , (72) 32592252-, 26012357-, 758212-, 32575361- (55) , (23) 31339125-, 26012357-, 758212-, 74766869- (55) , (23) 31339125-, 26012357-, 758212-, 32575361- (55)	72, 72, 72, 72, 23, 23	55, 55, 55, 55, 55, 55	32592258, 758212, 74766869,32592258, 758212, 32575361,32592252, 26012357, 758212, 74766869,32592252, 26012357, 758212, 32575361,31339125, 26012357, 758212, 74766869,31339125, 26012357, 758212, 32575361	1	626	801	Different	(72) 32592258-, 758212-, 74766869- (55) , (72) 32592258-, 758212-, 32575361- (55) , (72) 32592252-, 26012357-, 758212-, 74766869- (55) , (72) 32592252-, 26012357-, 758212-, 32575361- (55) , (23) 31339125-, 26012357-, 758212-, 74766869- (55) , (23) 31339125-, 26012357-, 758212-, 32575361- (55)	72, 72, 72, 72, 23, 23	55, 55, 55, 55, 55, 55	32592258, 758212, 74766869,32592258, 758212, 32575361,32592252, 26012357, 758212, 74766869,32592252, 26012357, 758212, 32575361,31339125, 26012357, 758212, 74766869,31339125, 26012357, 758212, 32575361	72	872	32592258, 758212	Different	1	626	801	72	872	32592258, 758212	Different
26	gb|AF326355|+|0-864|ARO:3002331|GES-2	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	93	901	864	Different	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	93	956	32422725	Different	93	901	864	93	956	32422725	Different
27	gb|AF329699|+|372-1236|ARO:3002337|GES-8	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	93	901	864	Different	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	93	956	32422725	Different	93	901	864	93	956	32422725	Different
28	gb|AF350424|+|0-771|ARO:3001428|OXA-34	(71) 32571183-, 5674312+ (101) , (71) 32571183-, 24348369+ (101)	71, 71	101, 101	32571183, 5674312,32571183, 24348369	71	740	771	Different	(71) 32571183-, 5674312+ (101) , (71) 32571183-, 24348369+ (101)	71, 71	101, 101	32571183, 5674312,32571183, 24348369	71	841	32571183, 5674312	Different	71	740	771	71	841	32571183, 5674312	Different
29	gb|AF371964|+|118-919|ARO:3001768|OXA-118	(19) 2556907-, 1160229-, 26511913- (71) , (19) 2556907-, 1160229-, 25425969- (71) , (222) 83520186+, 1160229-, 26511913- (71) , (222) 83520186+, 1160229-, 25425969- (71)	19, 19, 222, 222	71, 71, 71, 71	2556907, 1160229, 26511913,2556907, 1160229, 25425969,83520186, 1160229, 26511913,83520186, 1160229, 25425969	19	579	801	Different	(19) 2556907-, 1160229-, 26511913- (71) , (19) 2556907-, 1160229-, 25425969- (71) , (222) 83520186+, 1160229-, 26511913- (71) , (222) 83520186+, 1160229-, 25425969- (71)	19, 19, 222, 222	71, 71, 71, 71	2556907, 1160229, 26511913,2556907, 1160229, 25425969,83520186, 1160229, 26511913,83520186, 1160229, 25425969	19	819	2556907, 1160229, 26511913	Different	19	579	801	19	819	2556907, 1160229, 26511913	Different
30	gb|AF408195.1|+|9446-10250|ARO:3003206|lsaE	(34) 5670118- (837)	34	837	5670118	34	782	804	Different	(34) 5670118- (837)	34	837	5670118	34	837	5670118	Full	34	782	804	34	837	5670118	Different
31	gb|AF550679.1|-|80976-81768|ARO:3002601|aadA	(11) 31689609+, 31674241+, 385047+ (435) , (920) 31770840-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (13) 5638634-, 31689607+, 31674241+, 385047+ (435) , (13) 5638634-, 23556688-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (920) 31770840-, 66940499-, 81873962+, 31582859- (287) , (920) 31770840-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (13) 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (13) 5638634-, 23556688-, 66940499-, 66940495+, 8153423-, 31582859- (287)	11, 920, 13, 13, 920, 920, 13, 13	435, 435, 435, 435, 287, 287, 287, 287	31689609, 31674241, 385047,31770840, 66940499, 66940495, 3661600, 385047,5638634, 31689607, 31674241, 385047,5638634, 23556688, 66940499, 66940495, 3661600, 385047,31770840, 66940499, 81873962, 31582859,31770840, 66940499, 66940495, 8153423, 31582859,5638634, 23556688, 66940499, 81873962, 31582859,5638634, 23556688, 66940499, 66940495, 8153423, 31582859	11	380	792	Different	(11) 31689609+, 31674241+, 385047+ (435) , (920) 31770840-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (13) 5638634-, 31689607+, 31674241+, 385047+ (435) , (13) 5638634-, 23556688-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (920) 31770840-, 66940499-, 81873962+, 31582859- (287) , (920) 31770840-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (13) 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (13) 5638634-, 23556688-, 66940499-, 66940495+, 8153423-, 31582859- (287)	11, 920, 13, 13, 920, 920, 13, 13	435, 435, 435, 435, 287, 287, 287, 287	31689609, 31674241, 385047,31770840, 66940499, 66940495, 3661600, 385047,5638634, 31689607, 31674241, 385047,5638634, 23556688, 66940499, 66940495, 3661600, 385047,31770840, 66940499, 81873962, 31582859,31770840, 66940499, 66940495, 8153423, 31582859,5638634, 23556688, 66940499, 81873962, 31582859,5638634, 23556688, 66940499, 66940495, 8153423, 31582859	11	802	31689609, 31674241, 385047	Different	11	380	792	11	802	31689609, 31674241, 385047	Different
32	gb|AJ222769.3|+|3686-5606|ARO:3000194|tetW	(39) 288518-, 23815819-, 336894- (107) , (39) 288518-, 6570599+ (158) , (39) 288518-, 23815819-, 25312831- (98)	39, 39, 39	107, 158, 98	288518, 23815819, 336894,288518, 6570599,288518, 23815819, 25312831	39	1800	1920	Different	(39) 288518-, 23815819-, 336894- (107) , (39) 288518-, 6570599+ (158) , (39) 288518-, 23815819-, 25312831- (98)	39, 39, 39	107, 158, 98	288518, 23815819, 336894,288518, 6570599,288518, 23815819, 25312831	39	1958	288518, 23815819, 336894	Different	39	1800	1920	39	1958	288518, 23815819, 336894	Different
33	gb|AJ627643.4|+|4933-5713|ARO:3002653|APH(3')-VIb	(180) 6903442+, 86408359- (241) , (180) 6903442+, 506744- (243)	180, 180	241, 243	6903442, 86408359,6903442, 506744	180	716	780	Different	(180) 6903442+, 86408359- (241) , (180) 6903442+, 506744- (243)	180, 180	241, 243	6903442, 86408359,6903442, 506744	180	959	6903442, 86408359	Different	180	716	780	180	959	6903442, 86408359	Different
